single,swarm,thread,process
3.6635813437009563e-103,3.1585899925906423e-102,1.2228581549755486e-101,5.693109402700299e-100
2.1193611587802855e-104,3.812307982519667e-102,1.936447196805614e-92,1.3662126725833397e-102
9.07401259564334e-106,6.830580686186414e-106,5.363122966456049e-98,5.337211922729347e-103
1.109427593052751e-98,2.0263472678184388e-103,5.881718050647078e-98,4.089211698865064e-99
3.2139724671688905e-94,2.7634992193639273e-103,1.7389265882157142e-99,1.176481111702506e-100
1.0828578867497419e-98,2.6747832473677334e-100,8.148919952344508e-99,3.0631909118517476e-96
1.0614198607609517e-99,9.400548704297405e-98,6.531914593432717e-97,1.1496377706872425e-99
1.2424028206881618e-95,4.938822757907632e-103,2.245112495907162e-99,8.238330480976944e-96
1.8669560955103193e-104,1.4036361454204844e-100,7.122236933710777e-104,1.5516228188585865e-102
2.449174249347529e-95,1.1123723229383885e-101,1.0499436791325984e-97,3.2042977908673566e-105
